4,33
func,ksfailure,2.1220417477107296
grad,thick19,-9.016750315525659
grad,thick28,0.008523128215999279
grad,thick29,0.006514767849980162
grad,thick30,0.004616173446679734
grad,thick31,0.011524234064187771
grad,thick32,0.010450375067990415
grad,thick33,0.0011398333179005217
grad,thick20,8.832224765338948
grad,thick21,-0.3550117906855913
grad,thick22,-0.0630973483844371
grad,thick23,0.06794602648119581
grad,thick24,0.03851760137507591
grad,thick25,0.0191433673187278
grad,thick26,0.013368956318971892
grad,thick27,0.01065894181743485
grad,thick01,-1.660716891194809e-11
grad,thick10,0.00035435313195602723
grad,thick11,0.00024231056831482045
grad,thick12,0.00016518799804608224
grad,thick13,9.299676833590385e-05
grad,thick14,-0.0174490686690953
grad,thick15,5.5212934290218114e-05
grad,thick16,7.512115752435836e-05
grad,thick02,3.472034854429891
grad,thick03,0.28261247127420713
grad,thick04,-0.010271909392821082
grad,thick05,0.002644411083630952
grad,thick06,0.0015517401997227182
grad,thick07,0.002015360015587432
grad,thick08,0.000880449780136914
grad,thick09,0.00044866707952814354
grad,thick17,0.8535738825799981
grad,thick18,-0.19635251188410038
func,cl,0.1955925742997502
grad,thick19,-2.0256803651082773
grad,thick28,-0.20924193624976206
grad,thick29,-0.12549491060646448
grad,thick30,-0.0672043167746803
grad,thick31,-0.03049263692130952
grad,thick32,-0.011149165497743224
grad,thick33,-0.004641158824528246
grad,thick20,-1.691098172919558
grad,thick21,-1.4368364650217926
grad,thick22,-1.2162989141927547
grad,thick23,-1.0106250045770009
grad,thick24,-0.8111075224851454
grad,thick25,-0.6266298218386788
grad,thick26,-0.46123956490585877
grad,thick27,-0.3214297037871269
grad,thick01,1.6242009922498248e-10
grad,thick10,-0.004012453065038739
grad,thick11,-0.003049644456236053
grad,thick12,-0.002235440367470071
grad,thick13,-0.0017574499404350281
grad,thick14,-0.0013697727759591936
grad,thick15,-0.00042484230123005764
grad,thick16,-0.00016535030654113745
grad,thick02,-0.049934541726910586
grad,thick03,-0.03124044683700869
grad,thick04,-0.012702085580150702
grad,thick05,-0.006213044374768703
grad,thick06,-0.010876572676031229
grad,thick07,-0.005169213647483607
grad,thick08,-0.005388548329023222
grad,thick09,-0.005267276802593422
grad,thick17,0.09805995270930228
grad,thick18,-0.031152430627128948
func,cd,2.5624872134163983
grad,thick19,0.626546549263555
grad,thick28,-0.011949463855217828
grad,thick29,-0.004692884201611941
grad,thick30,-0.0002472686586390228
grad,thick31,0.004578166463872029
grad,thick32,0.007562615763313169
grad,thick33,0.0089289489531051
grad,thick20,0.34093063599384876
grad,thick21,-0.011558261411173311
grad,thick22,-0.07643440949550045
grad,thick23,-0.07094194869519245
grad,thick24,-0.055929171566999544
grad,thick25,-0.040528751036566106
grad,thick26,-0.02864495566505678
grad,thick27,-0.019517637041083946
grad,thick01,3.260409396963945e-10
grad,thick10,-0.004016582662266208
grad,thick11,-0.0032614094554306826
grad,thick12,-0.002593997598951801
grad,thick13,-0.002542386663706926
grad,thick14,-0.002818737782087241
grad,thick15,-0.00046313464454236124
grad,thick16,0.00047262167410462477
grad,thick02,0.0628116351744477
grad,thick03,-0.0058523205223594155
grad,thick04,-0.011849202973155986
grad,thick05,-0.007668465951229254
grad,thick06,-0.011074603891122088
grad,thick07,-0.0045511861164793405
grad,thick08,-0.005536662282715348
grad,thick09,-0.0060843165005665285
grad,thick17,0.08915694028034149
grad,thick18,0.049970921621157086
func,mass,4173.013721560041
grad,thick19,29772.622913914034
grad,thick28,22441.593326110586
grad,thick29,21346.881456263414
grad,thick30,20252.169587002743
grad,thick31,19157.457718354854
grad,thick32,18062.745849131563
grad,thick33,15643.242549898727
grad,thick20,31199.28828005983
grad,thick21,30104.576410142174
grad,thick22,29009.864540418926
grad,thick23,27915.152680666957
grad,thick24,26820.44081914852
grad,thick25,25725.728950248602
grad,thick26,24631.017079075606
grad,thick27,23536.305202205076
grad,thick01,5101.007645280608
grad,thick10,2499.4937248745064
grad,thick11,2267.1144399232458
grad,thick12,2046.0707865220502
grad,thick13,1836.362691453696
grad,thick14,1637.9902033463827
grad,thick15,1450.9532529496903
grad,thick16,1275.2519113178873
grad,thick02,4766.608343671533
grad,thick03,4443.544510653007
grad,thick04,4131.816271061407
grad,thick05,3831.423587464882
grad,thick06,3542.366432307979
grad,thick07,3264.644897474132
grad,thick08,2998.258919501731
grad,thick09,2743.208545929397
grad,thick17,2143.6792078051944
grad,thick18,1702.4894218250297
