2,10,3
func,cl,0.6656631688187077
grad,shape,-0.570222278849371
grad,shape,-0.4241066370437062
grad,shape,9.834320833783178
grad,shape,7.8954933824047595
grad,shape,-0.5328054257635275
grad,shape,-0.3196478780617877
grad,shape,-0.5903545014686752
grad,shape,0.19079077484102305
grad,shape,-5.733175729290908
grad,shape,-0.8042610653841801
grad,struct,-0.11895776170324526
grad,struct,-0.004399209696069312
grad,struct,-0.011423073988948321
func,cd,-0.03321116741212243
grad,shape,-0.07289830186354158
grad,shape,-0.01703704703222051
grad,shape,10.096288376227225
grad,shape,2.2546002774827962
grad,shape,-0.013609491260193748
grad,shape,-0.07198351679237203
grad,shape,-0.07550375384950415
grad,shape,0.40013318022175604
grad,shape,-3.6139083623541564
grad,shape,-1.514131781659045
grad,struct,-0.21221584196277432
grad,struct,-0.01191920488916903
grad,struct,-0.02469191892864777
